OrderID,CustomerID_x,Status,FullName,Phone,Address,OrderDetailID,MenuItemID,Quantity,Price_x,Driver_name,Amount,PaymentMethod,Name,Description,Price_y,CuisineType,Revenue,OrderIDNew
81,81,Shipped,Mostafa Hassan,1223454322,"Smouha, Alexandria",81,72,5,209.29,Ahmed Mostafa,0,Not Paid,Burrito,Delicious Burrito - classic Mexican taste.,47.55,Mexican,1046.45,81
82,82,Delivered,Khaled Mahrous,1186160096,"Sidi Gaber, Alexandria",82,62,4,101.73,Magdy Shahin,0,Not Paid,Fried Chicken,Delicious Fried Chicken - classic American taste.,131.62,American,406.92,82
83,83,Delivered,Omar Hassan,1072582590,"Maadi, Cairo",83,32,4,140.84,Dalia Saleh,0,Not Paid,Chicken Tikka Masala,Delicious Chicken Tikka Masala - classic Indian taste.,146.13,Indian,563.36,83
84,84,Shipped,Heba Kamal,1532841909,"Maadi, Cairo",84,73,5,217.56,Fatma Farouk,0,Not Paid,Enchiladas,Delicious Enchiladas - classic Mexican taste.,116.84,Mexican,1087.8,84
85,85,Shipped,Mona Mostafa,1519220962,"Smouha, Alexandria",85,94,4,31.29,Aya Taha,0,Not Paid,Massaman Curry,Delicious Massaman Curry - classic Thai taste.,163.38,Thai,125.16,85
86,86,Pending,Yasmin Ali,1029472624,"Imbaba, Giza",86,64,1,216.31,Laila Gamal,0,Not Paid,Caesar Salad,Delicious Caesar Salad - classic American taste.,110.22,American,216.31,86
87,87,Delivered,Mostafa Fathy,1180122096,"Nasr City, Cairo",87,94,2,23.91,Ayman Saleh,0,Not Paid,Massaman Curry,Delicious Massaman Curry - classic Thai taste.,163.38,Thai,47.82,87
88,88,Delivered,Yasmin Kamal,1185812606,"Stanley, Alexandria",88,44,3,48.66,Rita Ali,303.42,Vodafone Cash,Shawarma,Delicious Shawarma - classic Lebanese taste.,101.14,Lebanese,145.98,88
89,89,Cancelled,Khaled Ibrahim,1242245715,"Mohandessin, Giza",89,8,2,238.71,Lobna Fahmy,285.86,Fawry,Sayadiya,Delicious Sayadiya - classic Egyptian taste.,142.93,Egyptian,477.42,89
90,90,Cancelled,Mohamed Gamal,1213896452,"Imbaba, Giza",90,59,1,116.15,Laila Ragab,0,Not Paid,Chicken Souvlaki,Delicious Chicken Souvlaki - classic Mediterranean taste.,111.29,Mediterranean,116.15,90
91,91,Pending,Yasmin Gamal,1136470480,"Dokki, Giza",91,82,4,107.17,Nour Saleh,817.68,Credit Card,Saganaki,Delicious Saganaki - classic Greek taste.,204.42,Greek,428.68,91
92,92,Cancelled,Yasmin Farouk,1163040671,"Nasr City, Cairo",92,2,2,157.07,Ibrahim Farouk,156.94,Vodafone Cash,Molokhia,Delicious Molokhia - classic Egyptian taste.,78.47,Egyptian,314.14,92
93,93,Cancelled,Yasmin Ibrahim,1243729368,"Maadi, Cairo",93,33,3,145.39,Salma Saleh,240.99,Fawry,Biryani,Delicious Biryani - classic Indian taste.,80.33,Indian,436.17,93
94,94,Shipped,Ahmed Kamal,1540411381,"Faisal, Giza",94,32,4,128.3,Maha Taha,0,Not Paid,Chicken Tikka Masala,Delicious Chicken Tikka Masala - classic Indian taste.,146.13,Indian,513.2,94
95,95,Delivered,Aya Tawfik,1549117348,"Sidi Gaber, Alexandria",95,36,2,193.33,Nermine Nasr,229.94,Cash,Dal Tadka,Delicious Dal Tadka - classic Indian taste.,114.97,Indian,386.66,95
96,96,Delivered,Heba Mahrous,1088503906,"Smouha, Alexandria",96,78,2,179.67,Aya Shalaby,305.4,Cash,Nachos,Delicious Nachos - classic Mexican taste.,152.7,Mexican,359.34,96
97,97,Delivered,Mohamed Kamal,1235033888,"Heliopolis, Cairo",97,23,1,225.13,Rita Mahrous,140.87,Cash,Fried Rice,Delicious Fried Rice - classic Chinese taste.,140.87,Chinese,225.13,97
98,98,Pending,Aya Ali,1175704256,"Heliopolis, Cairo",98,9,2,92.98,Khaled Nasr,0,Not Paid,Mahshi,Delicious Mahshi - classic Egyptian taste.,144.75,Egyptian,185.96,98
99,99,Shipped,Sara Fathy,1517376207,"Mohandessin, Giza",99,71,5,49.51,Hany Gaber,595.2,Fawry,Tacos,Delicious Tacos - classic Mexican taste.,119.04,Mexican,247.55,99
100,100,Pending,Sara Mostafa,1047288975,"Sidi Gaber, Alexandria",100,85,5,195.91,Ahmed Shalaby,0,Not Paid,Avgolemono Soup,Delicious Avgolemono Soup - classic Greek taste.,116.72,Greek,979.55,100
101,101,Pending,Mohamed Fathy,1120251904,"Imbaba, Giza",101,23,2,209.64,Farida Kamel,281.74,Fawry,Fried Rice,Delicious Fried Rice - classic Chinese taste.,140.87,Chinese,419.28,101
102,102,Delivered,Aya Mahrous,1272917604,"Imbaba, Giza",102,11,4,152.25,Aya Gamal,0,Not Paid,Margherita Pizza,Delicious Margherita Pizza - classic Italian taste.,225,Italian,609,102
103,103,Delivered,Ahmed Fathy,1596562192,"Dokki, Giza",103,36,5,114.14,Yousra Ibrahim,574.85,Cash,Dal Tadka,Delicious Dal Tadka - classic Indian taste.,114.97,Indian,570.7,103
104,104,Pending,Heba Kamal,1224934253,"Stanley, Alexandria",104,31,1,31.91,Reem Yassin,0,Not Paid,Butter Chicken,Delicious Butter Chicken - classic Indian taste.,158.8,Indian,31.91,104
105,105,Delivered,Khaled Ali,1551955414,"Stanley, Alexandria",105,10,1,89.97,Nadine Ali,0,Not Paid,Hamam Mahshi,Delicious Hamam Mahshi - classic Egyptian taste.,119.67,Egyptian,89.97,105
106,106,Shipped,Heba Mahrous,1239187174,"Stanley, Alexandria",106,13,4,80.27,Dalia Sabry,257.12,Cash,Lasagna,Delicious Lasagna - classic Italian taste.,64.28,Italian,321.08,106
107,107,Delivered,Mona Kamal,1572354049,"Faisal, Giza",107,81,3,117.33,Sherif Gaber,549.69,Fawry,Gyro,Delicious Gyro - classic Greek taste.,183.23,Greek,351.99,107
108,108,Shipped,Aya Farouk,1585677498,"Imbaba, Giza",108,25,1,156.72,Salma Mansour,86.93,Fawry,Chow Mein,Delicious Chow Mein - classic Chinese taste.,86.93,Chinese,156.72,108
109,109,Shipped,Sara Gamal,1221167360,"Stanley, Alexandria",109,23,2,92.02,Heba Saleh,281.74,Fawry,Fried Rice,Delicious Fried Rice - classic Chinese taste.,140.87,Chinese,184.04,109
110,110,Shipped,Ahmed Fathy,1073291122,"Imbaba, Giza",110,68,1,218.46,Tarek Ragab,121.33,Cash,Pulled Pork Sandwich,Delicious Pulled Pork Sandwich - classic American taste.,121.33,American,218.46,110
111,111,Cancelled,Mona Gamal,1538520644,"Nasr City, Cairo",111,10,4,63.4,Lobna Ibrahim,0,Not Paid,Hamam Mahshi,Delicious Hamam Mahshi - classic Egyptian taste.,119.67,Egyptian,253.6,111
112,112,Pending,Yasmin Ali,1583442925,"Mohandessin, Giza",112,70,5,56.51,Yousra Farouk,0,Not Paid,Cobb Salad,Delicious Cobb Salad - classic American taste.,85.19,American,282.55,112
113,113,Delivered,Mostafa Mostafa,1035912068,"Mohandessin, Giza",113,92,2,241.89,Ibrahim Sultan,0,Not Paid,Green Curry,Delicious Green Curry - classic Thai taste.,220.99,Thai,483.78,113
114,114,Pending,Ahmed Gamal,1046059751,"Heliopolis, Cairo",114,61,3,194.16,Sherif Hamed,0,Not Paid,Cheeseburger,Delicious Cheeseburger - classic American taste.,193.91,American,582.48,114
115,115,Shipped,Mohamed Farouk,1529312974,"Dokki, Giza",115,63,5,214.69,Sherif Gaber,312.25,Credit Card,BBQ Ribs,Delicious BBQ Ribs - classic American taste.,62.45,American,1073.45,115
116,116,Pending,Ahmed Farouk,1245200244,"Imbaba, Giza",116,94,2,134.51,Kareem Younes,0,Not Paid,Massaman Curry,Delicious Massaman Curry - classic Thai taste.,163.38,Thai,269.02,116
117,117,Delivered,Mohamed Tawfik,1221214195,"Faisal, Giza",117,55,4,216.78,Hassan Said,118.4,Vodafone Cash,Stuffed Vine Leaves,Delicious Stuffed Vine Leaves - classic Mediterranean taste.,29.6,Mediterranean,867.12,117
118,118,Delivered,Omar Tawfik,1043228910,"Sidi Gaber, Alexandria",118,73,5,99,Hany Saleh,584.2,Credit Card,Enchiladas,Delicious Enchiladas - classic Mexican taste.,116.84,Mexican,495,118
119,119,Shipped,Omar Mahrous,1260333087,"Nasr City, Cairo",119,15,3,217.18,Hagar Zaki,0,Not Paid,Penne Arrabbiata,Delicious Penne Arrabbiata - classic Italian taste.,52.05,Italian,651.54,119
120,120,Delivered,Khaled Hassan,1060094186,"Imbaba, Giza",120,18,2,196.79,Zeinab Soliman,242.54,Cash,Carbonara,Delicious Carbonara - classic Italian taste.,121.27,Italian,393.58,120
121,121,Cancelled,Khaled Hassan,1284139704,"Maadi, Cairo",121,25,3,149.97,Farida Kamel,260.79,Fawry,Chow Mein,Delicious Chow Mein - classic Chinese taste.,86.93,Chinese,449.91,121
122,122,Delivered,Khaled Kamal,1597340201,"Heliopolis, Cairo",122,27,1,62.9,Yousra Sultan,53.67,Cash,Mapo Tofu,Delicious Mapo Tofu - classic Chinese taste.,53.67,Chinese,62.9,122
123,123,Cancelled,Aya Gamal,1016882587,"Heliopolis, Cairo",123,98,5,91.12,Dalia Soliman,0,Not Paid,Thai Basil Chicken,Delicious Thai Basil Chicken - classic Thai taste.,131.13,Thai,455.6,123
124,124,Delivered,Heba Ali,1161653666,"Stanley, Alexandria",124,15,1,84.46,Noha Younes,0,Not Paid,Penne Arrabbiata,Delicious Penne Arrabbiata - classic Italian taste.,52.05,Italian,84.46,124
124,124,Delivered,Heba Ali,1161653666,"Stanley, Alexandria",124,15,1,84.46,Noha Younes,0,Not Paid,Penne Arrabbiata,Delicious Penne Arrabbiata - classic Italian taste.,52.05,Italian,84.46,125
125,125,Shipped,Heba Mostafa,1057417741,"Imbaba, Giza",125,94,4,92.44,Aya Mostafa,653.52,Fawry,Massaman Curry,Delicious Massaman Curry - classic Thai taste.,163.38,Thai,369.76,126
126,126,Pending,Sara Farouk,1132832634,"Nasr City, Cairo",126,83,1,220.75,Ruba Abdelrahman,213.94,Vodafone Cash,Lamb Kebab,Delicious Lamb Kebab - classic Greek taste.,213.94,Greek,220.75,127
127,127,Delivered,Mostafa Fathy,1254611199,"Nasr City, Cairo",127,97,3,110.3,Ahmed Zaki,739.83,Cash,Panang Curry,Delicious Panang Curry - classic Thai taste.,246.61,Thai,330.9,128
128,128,Delivered,Mona Ali,1152452173,"Dokki, Giza",128,12,1,167.98,Nermine Zaki,117.98,Cash,Spaghetti Bolognese,Delicious Spaghetti Bolognese - classic Italian taste.,117.98,Italian,167.98,129
